seed,buildup,climax,resolution,outlook
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Amy chose a few dresses to try on but Jenny had a lot of criticism for every one of them. After a while, Amy was fed up with being carped at by Jenny's critics and suggested that Jenny picking a dress for her.",Jenny picked out an unflattering dress. Amy thought Jenny's fashion sense wasn't so good.,Amy and Jenny accepted each other's dress style and didn't criticize but the lack of mutual aesthetic recognition did pull them apart a little.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Amy chose a few dresses to try on but Jenny had a lot of criticism for every one of them. After a while, Amy was fed up with being carped at by Jenny's critics and suggested that Jenny picking a dress for her.",Jenny said she had better fashion sense. She found a good dress for Amy.,Amy is glad she has Jenny's fashion expertise available now and also in future.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"Amy chose a few dresses to try on but Jenny had a lot of criticism for every one of them. After a while, Amy was fed up with being carped at by Jenny's critics and suggested that Jenny picking a dress for her.",Jenny chose a dress for Amy. Amy realized it was perfect.,Amy is glad she has such a fashionista like Jenny for a friend.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"With Jenny's help, it did not take long for Amy to pick a dress that she liked and was suitable for the event. They shopped around a little longer and Amy treated Jenny to dinner.","Jenny really thought that she did not do much and did not deserve Amy’s hospitality. Meanwhile, she realized that Amy actually cherish her advice and their friendship so she was very delighted.","Later on, when Amy helps Jenny in something, Jenny also expresses her gratitude by giving her small presents to treating her to drinks or meals and they became best friends."
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"With Jenny's help, it did not take long for Amy to pick a dress that she liked and was suitable for the event. They shopped around a little longer and Amy treated Jenny to dinner.","Jenny felt a little awkward because she thought that she did not do much. However, Amy kept on thanking her for her help which made her even more awkward.","After this occasion, Jenny tried not to associate with Amy — not because she did not like Amy, but she could not handle her over politeness."
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"With Jenny's help, it did not take long for Amy to pick a dress that she liked and was suitable for the event. They shopped around a little longer and Amy treated Jenny to dinner.","While they had dinner, Amy and Jenny talked about how Amy should wear her hair to the formal.  Jenny had some really good ideas.",Amy knew she could count on Jenny to be honest with her and their friendship was more solid than ever.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"With Jenny's help, it did not take long for Amy to pick a dress that she liked and was suitable for the event. They shopped around a little longer and Amy treated Jenny to dinner.","Amy was so excited about her new dress she wanted to find the perfect accessories, too.  After dinner she and Jenny went to look for a pair of shoes and some earrings.",Amy knows she can rely on Jenny to be honest with her and values that in a friend.
Amy asked her friend Jenny to go to the mall with her.,Amy needed a new dress for the upcoming formal and she wanted to seek advice from Jenny whom she thinks has a good fashion sense.,"With Jenny's help, it did not take long for Amy to pick a dress that she liked and was suitable for the event. They shopped around a little longer and Amy treated Jenny to dinner.",Jenny insisted on paying for her own meal. Jenny said Amy did not owe her anything for the advice.,Amy is happy to have a helpful friend.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","There was a Harry Potter trivia contest at the mall and they instantly rushed over to participate because they had watched all Harry Potter movies together. At the end, they won first prize and were very proud of themselves.",They spent rest of the day shopping at other shops and still discussing some of the good moments from the contest. They enjoyed themselves so much that day.,They decided to hang out more often so that they could have more fun in their lives.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","There was a Harry Potter trivia contest at the mall and they instantly rushed over to participate because they had watched all Harry Potter movies together. At the end, they won first prize and were very proud of themselves.",The prize was made of a hundred dollar voucher for hot topic so they split the money and got some Harry Potter apparel from Hot Topic. They then took a lot of pictures of themselves in their new clothes because it was definitely a day to remember for them two potter heads.,They planned another Harry Potter marathon and started actively looking for trivia contests so that they could reexperience the happy moments.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","There was a Harry Potter trivia contest at the mall and they instantly rushed over to participate because they had watched all Harry Potter movies together. At the end, they won first prize and were very proud of themselves.",Amy and Jenny were happy that they went to the contest.  They felt less stress and had the victory of winning over something they enjoyed together.,Amy and Jenny felt more like a team and this event brought them closer together.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","There was a Harry Potter trivia contest at the mall and they instantly rushed over to participate because they had watched all Harry Potter movies together. At the end, they won first prize and were very proud of themselves.",Amy and Jenny saw they had a talent for contests. They decided to enter more.,Amy and Jenny have a stronger bond because of their activities.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","There was a Harry Potter trivia contest at the mall and they instantly rushed over to participate because they had watched all Harry Potter movies together. At the end, they won first prize and were very proud of themselves.",Amy and Jenny took a photo of themselves with the prize. They talked about the fun they had had.,Amy and Jenny will remember this as one of their fondest moments.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","Just as they arrived at the mall, Amy suddenly had a stomachache which really concerned Jenny. Jenny helped Amy to sit down at a bench in the mall and bought her a cup of hot chocolate, hoping to alleviate her pain.","After resting for a while, Amy felt much better and apologized to Jenny for the hustle. Jenny said that she did not mind at all and was glad that Amy felt better.",Amy was very grateful for Jenny’s care and start to always keep an eye on Jenny in case she could return the favor.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","Just as they arrived at the mall, Amy suddenly had a stomachache which really concerned Jenny. Jenny helped Amy to sit down at a bench in the mall and bought her a cup of hot chocolate, hoping to alleviate her pain.","The moment Amy held the drink in her hand, she said she was fine. Jenny realized that Amy just wanted her to buy a drink for her.",Jenny refrained from hanging out with Amy after that because she did not want to be taken advantage of again.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","Just as they arrived at the mall, Amy suddenly had a stomachache which really concerned Jenny. Jenny helped Amy to sit down at a bench in the mall and bought her a cup of hot chocolate, hoping to alleviate her pain.","Amy and Jenny sat there waiting for Amy's stomach ache to feel better.  When it did, they went shopping and Amy felt fine the rest of the day.",Amy felt that Jenny was a good friend to her and was glad to have her there when she wasn't feeling well.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","Just as they arrived at the mall, Amy suddenly had a stomachache which really concerned Jenny. Jenny helped Amy to sit down at a bench in the mall and bought her a cup of hot chocolate, hoping to alleviate her pain.",Amy's stomach felt better. She thanked Jenny.,Amy knew she could rely on Jenny to help her anytime.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","Just as they arrived at the mall, Amy suddenly had a stomachache which really concerned Jenny. Jenny helped Amy to sit down at a bench in the mall and bought her a cup of hot chocolate, hoping to alleviate her pain.",Amy thanked Jenny for the drink. Amy started to feel better.,Amy realized that Jenny would always be there for her.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.",They chatted as they walked around the mall and Amy confessed to Jenny that she copied a large portion of an online article for the project just so that they could get it done faster. Jenny was infuriated and harshly blamed Amy for her act.,"Amy regretted it a lot and neither of them had the mood to have fun at the mall any more. At the end, they decided to told the truth to the professor by emailing him before going straight home.","Jenny was mad at Amy for a good while but then she realized that everybody makes mistakes, since Amy had the courage to admit, they could remain friends."
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.",They chatted as they walked around the mall and Amy confessed to Jenny that she copied a large portion of an online article for the project just so that they could get it done faster. Jenny was infuriated and harshly blamed Amy for her act.,Amy explained that she was very busy at the time and had no choice but to plagiarize which made Jenny even angrier. Amy apologized again and again and Jenny realized that there was nothing they could do so she might as well stop being mad.,"Even though it seemed that Jenny forgave Amy, Jenny was deeply disgusted by what Amy did and never teamed up with Amy ever again."
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.",They chatted as they walked around the mall and Amy confessed to Jenny that she copied a large portion of an online article for the project just so that they could get it done faster. Jenny was infuriated and harshly blamed Amy for her act.,Jenny wanted Amy to confess to their instructor. Amy refused.,Jenny refused to work with Amy anymore.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.",They chatted as they walked around the mall and Amy confessed to Jenny that she copied a large portion of an online article for the project just so that they could get it done faster. Jenny was infuriated and harshly blamed Amy for her act.,Jenny could not get over the fact that Amy had cheated.  She said that she would never cheat even if it would make the project go faster.,Jenny encouraged Amy to start doing the correct thing on all future papers and they remained good friends.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.",They chatted as they walked around the mall and Amy confessed to Jenny that she copied a large portion of an online article for the project just so that they could get it done faster. Jenny was infuriated and harshly blamed Amy for her act.,"Amy was afraid she'd get in big trouble because of cheating. Luckily, Jenny promised to help Amy.",Amy was glad she had finally found an honest friend.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","At a furniture store, Amy saw a really marvelous candle holder, unfortunately, it was too expensive for her. A while after they left the stall, Amy mysteriously dragged Jenny to a corner and opened her bag -- she had shoplifted the candle holder!",Jenny was shocked and tried to convince Amy to return it because she would be in so much trouble if the police found out. Amy was terrified by all the consequences listed by Jenny and discreetly our the candleholder back.,"Jenny figured that Amy was just too immature and lost her mind the point so she remained friends with her but at the same time, she watch more closely what Amy does just in case she does something crazy again."
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","At a furniture store, Amy saw a really marvelous candle holder, unfortunately, it was too expensive for her. A while after they left the stall, Amy mysteriously dragged Jenny to a corner and opened her bag -- she had shoplifted the candle holder!","Jenny did not react much and just said she needed to go to the bathroom. To Amy’s horror, she came back with a security personnel and brought her to the security.","Since then, Jenny lost Amy’s trust but Jenny did not want to be Amy’s friend anyway."
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","At a furniture store, Amy saw a really marvelous candle holder, unfortunately, it was too expensive for her. A while after they left the stall, Amy mysteriously dragged Jenny to a corner and opened her bag -- she had shoplifted the candle holder!",Jenny wanted Amy to confess to the official but Amy refused.,Jenny refused to go shopping with Amy anymore.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","At a furniture store, Amy saw a really marvelous candle holder, unfortunately, it was too expensive for her. A while after they left the stall, Amy mysteriously dragged Jenny to a corner and opened her bag -- she had shoplifted the candle holder!",Jenny could not get over the fact that Amy had shoplifted.  She said that she would never steal even if she really wants something.,Jenny encouraged Amy to start doing the correct thing when shopping in the future and they remained good friends.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","At a furniture store, Amy saw a really marvelous candle holder, unfortunately, it was too expensive for her. A while after they left the stall, Amy mysteriously dragged Jenny to a corner and opened her bag -- she had shoplifted the candle holder!",Amy was afraid she'd get in big trouble from stealing. Jenny promised to help Amy.,Amy was glad she had finally found an honest friend.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","While they were having lunch, a stranger walking past accidentally knocked over Amy's drink and spilled all over the skirt that she just bought. Jenny hurried helping Amy to clean up and comforted her saying that she knew detergent that can get rid of the mark.","Amy however was angry and shouted that she only said that because it was not Jenny’s skirt being stained which confused Jenny because she did not do anything wrong. Even though Amy apologized later saying she was just too sad about the accident, Jenny knew that Amy was terrible at controlling her temper.","Since Jenny is very sensitive, she does not hang out with Jenny that often any more because she did not want to deal with her tandrum."
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","While they were having lunch, a stranger walking past accidentally knocked over Amy's drink and spilled all over the skirt that she just bought. Jenny hurried helping Amy to clean up and comforted her saying that she knew detergent that can get rid of the mark.","Seeing that Jenny was trying to help her, she was too embarrassed to lose temper so she did not blame the stranger harshly. Later on Jenny gave Amy some detergent that successfully removed the stain and Amy was relieved.","Amy realized that Jenny is a very chill and caring person, a perfect complement to her impulsive personality and thought she really needs Jenny in her life."
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","While they were having lunch, a stranger walking past accidentally knocked over Amy's drink and spilled all over the skirt that she just bought. Jenny hurried helping Amy to clean up and comforted her saying that she knew detergent that can get rid of the mark.",Amy and Jenny went to Jenny's home. Jenny got the skirt clean.,Amy thanked Jenny for her help and will not forget it.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","While they were having lunch, a stranger walking past accidentally knocked over Amy's drink and spilled all over the skirt that she just bought. Jenny hurried helping Amy to clean up and comforted her saying that she knew detergent that can get rid of the mark.",Amy was having fun with Jenny so decided not to let this spoil her time out.  They went on to each buy a cute sweater for the holidays.,Amy appreciates Jenny's empathy and knows she is the kind of person she wants to spend time with.
Amy asked her friend Jenny to go to the mall with her.,"They had just finished an important project for a class and wanted to relax, have some fun before the grind starts again.","While they were having lunch, a stranger walking past accidentally knocked over Amy's drink and spilled all over the skirt that she just bought. Jenny hurried helping Amy to clean up and comforted her saying that she knew detergent that can get rid of the mark.","Amy was furious, but Jenny calmed her down. Jenny cleaned her skirt.",Amy thanked Jenny for her extra special care.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","To her surprise, Jenny rejected her invitations, pulling the ""busy with work"" card yet again. Amy was irritated and confronted her through text and Jenny left her on 'seen'!",Amy was extremely mad and thought that Jenny was not worthy to be her friend after all. She invited a bunch of other friends and had a great time without Jenny.,"She made up her mind that no matter what happens, she will never talk to Jenny ever!"
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","To her surprise, Jenny rejected her invitations, pulling the ""busy with work"" card yet again. Amy was irritated and confronted her through text and Jenny left her on 'seen'!",Amy was consumed with anger and showed up and Jenny’s door asking for a reason. It turned out that Jenny’s grandmother recently passed away. Amy regretted her ignorance and apologized to Jenny.,Jenny was too sad to find fault in anybody but Amy tried to made it up for her by helping her walk over the sorrow and they went back to being really close friends afterwards.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","To her surprise, Jenny rejected her invitations, pulling the ""busy with work"" card yet again. Amy was irritated and confronted her through text and Jenny left her on 'seen'!",Amy asked Jenny personally what was wrong. Amy did not get a straight response.,Amy decided Jenny was no longer her friend and gave up on her.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","To her surprise, Jenny rejected her invitations, pulling the ""busy with work"" card yet again. Amy was irritated and confronted her through text and Jenny left her on 'seen'!",Amy decided this would be her final attempt to rekindle their friendship. She closed the texting app and has not plans to contact Jenny again.,Amy concluded that Jenny no longer values their friendship and cut ties.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","To her surprise, Jenny rejected her invitations, pulling the ""busy with work"" card yet again. Amy was irritated and confronted her through text and Jenny left her on 'seen'!",Jenny pointed out her work schedule. Amy apologized and promised not to be controlling.,Amy and Jenny saw each other when they could.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.",Jenny immediately agreed and said that she missed spending time with Amy as well. They attended a ceramic workshop at the mall and made really pretty tea cups.,Amy and Jenny laughed and shared. Amy and Jenny realized that they were good friends.,Amy and Jenny agreed to spend more time together.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.",Jenny immediately agreed and said that she missed spending time with Amy as well. They attended a ceramic workshop at the mall and made really pretty tea cups.,Jenny enjoyed herself so much that she suggested they do another art project together the following weekend.  Amy gladly agreed to the idea.,Amy and Jenny both realize how much they enjoy one another and are recommited to maintaining their relationship.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.",Jenny immediately agreed and said that she missed spending time with Amy as well. They attended a ceramic workshop at the mall and made really pretty tea cups.,Jenny and Amy decided they'd spend one day a month doing something fun together.  They agreed they would make matching saucers for their tea cups next month.,Jenny and Amy realized how much fun they had together and decided to make time for each other in the future.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.",Jenny immediately agreed and said that she missed spending time with Amy as well. They attended a ceramic workshop at the mall and made really pretty tea cups.,Amy was glad that she had invited Jenny to the workshop.  They enjoyed it and were able to go home with a memento of the event.,Amy worked on planning more events with Jenny intentionally so that they would be able to do more things together.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.",Jenny immediately agreed and said that she missed spending time with Amy as well. They attended a ceramic workshop at the mall and made really pretty tea cups.,Amy and Jenny agreed that they would meet once a month for tea at each other's houses.  That way they'd have an excuse to use the tea cups they made and keep in touch.,Amy and Jenny realized that they have a lot of fun together and should make it a priority to carve out time for one another.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","Jenny, however, was annoyed with Amy after she found out that the boy that she was into had a crush on Amy. Jenny therefore rudely rejected Amy's invitation and told her to never contact her ever again.",Amy pressed Jenny to reveal the problem. Amy told Jenny it wasn't worth chasing someone who didn't want her.,Jenny apologized to Amy and went back to being her friend.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","Jenny, however, was annoyed with Amy after she found out that the boy that she was into had a crush on Amy. Jenny therefore rudely rejected Amy's invitation and told her to never contact her ever again.",Amy found out why Jenny was mad. Amy said Jenny was being controlling over the boy.,Jenny wouldn't speak to Amy anymore.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","Jenny, however, was annoyed with Amy after she found out that the boy that she was into had a crush on Amy. Jenny therefore rudely rejected Amy's invitation and told her to never contact her ever again.",Amy said she didn't like the boy. Jenny apologized to Amy.,Amy and Jenny got over this rough spot and made up.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","Jenny, however, was annoyed with Amy after she found out that the boy that she was into had a crush on Amy. Jenny therefore rudely rejected Amy's invitation and told her to never contact her ever again.",Amy pressed Jenny to tell her what was wrong. Jenny explained.,Amy thinks Jenny is too childish and boy-crazy and left her alone.
Amy asked her friend Jenny to go to the mall with her.,"Amy felt that she has become more distant to Jenny and they did not hang out much recently, so she wanted to bring Jenny closer.","Jenny, however, was annoyed with Amy after she found out that the boy that she was into had a crush on Amy. Jenny therefore rudely rejected Amy's invitation and told her to never contact her ever again.",Jenny could not get over the fact that the boy she liked did not like her.  She would rather end a friendship than deal with the pain of the boy liking her friend.,Amy and Jenny no longer spent time together and drifted apart.
